ca_pa,status,raise_date,target_date,audit,source,ower,deatails,root_cause_details,root_cause_completed_by,root_cause_target_date,root_cause_closed_date,corrective_action_details,corrective_action_completed_by,corrective_action_target_date,corrective_action_closed_date,preventive_action_details,preventive_action_completed_by,preventive_action_target_date,preventive_action_closed_date,follow_up_details,follow_up_completed_by,follow_up_target_date,follow_up_closed_date,accesptance_action_details,accesptance_action_completed_by,accesptance_action_target_date,accesptance_action_closed_date,implementing_action_details,implementing_action_completed_by,implementing_action_target_date,implementing_action_closed_date,
CA/PA-878,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee",CAMO.125(e). Uçuşların yararalılığının yoxlanılması personalının şəxsi təsdiq sertifikatlarının (PAC) müddətlərinin bitməsini izləyən sistem yoxdur. Nəticədə uçuşların yararlılığının yoxlanılması personalının şəxsi təsdiq sertifikatının qüvvədə olma müddətinin bitməsinə baxmayaraq 4K-AZ142 DQN HG-ninin uçuşa yararlılıq sertifikatının müddəti uzadılmışdır,Uçuşa yararlılığın yoxlanılması üzrə heyət üçün Fərdi Səlahiyyət Sertifikatlarının (PAC) istifadə müddətini izləyən monitorinq sistemi mövcud deyil.,"AZAL, Auditee",2/3/2025,4/17/2025,Uçuşların yararalılığının yoxlanılması personalının şəxsi təsdiq sertifikatlarının (PAC) müddətlərii yoxlanılıcaq (10.04.2025 qədər),"AZAL, Auditee",2/3/2025,,"Excel-də ""PAC""-ın müddəti bitməzdən ən azı 90 gün əvvəl məsul işçiləri xəbərdar edən avtomatlaşdırılmış xəbərdarlıq sisteminin yaradılması 10.04.2025 qədər.","AZAL, Auditee",2/3/2025,,"Sübutedici sənədlər təqdim olunmuşdur.
Növbəti yoxlamada bir daha nəzər yetiriləcəkdir.","Nasirov, Namig",4/25/2025,4/25/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,"4K-AZ142 DQN HG-ninin uçuşa yararlılıq sertifikatı uyğunsuzluq aşkarlan anda yenidən səlahiyyətli inspektor tərəfindən yoxlanılaraq uzadılmış və DMAA müfəttişlərinə təqdim edilmişdir. 
Excel-də ""PAC""-ın müddəti bitməzdən ən azı 90 gün əvvəl məsul işçiləri xəbərdar edən avtomatlaşdırılmış xəbərdarlıq sisteminin yaradılib və əlavə olunub.","Nasirov, Namig",4/16/2025,4/25/2025,
CA/PA-879,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee","07.04.2023 tarixli təftiş yoxlama raportu CAME Ed.01_Rev.00-a əsasən aparılıb. 
Lakin, təşkilat təsdiq üçün CAME Doc. No.: Ed.7_Rev. 00 sənədini təqdim etmişdir.

DMAA Forma 2 sənədinin 5-ci paraqrafı CAME Doc. No.: Ed.7_Rev. 00 sənədinin  0.2.2-ci paraqrafı ilə eyni deyildir (B787-8 qeyd edilməyib).","2024-cü ilin iyul ayında göndərilən CAME reviziyasında Bermud adalarında qeydiyyata alınan təyyarələr Maddə 0.2.2-də göstərilmişdi, yəni ümumi siyahıda Azərbaycanda qeydiyyatda olan təyyarələrlə birlikdə","AZAL, Auditee",2/3/2025,4/17/2025,31 mart 2025-ci il tarixinədək CAME yenilənəcək və Bermud adalarında qeydiyyatda olan təyyarələrə dair məlumat CAME-nin 6-cı maddəsində yer alacaq.,"AZAL, Auditee",2/3/2025,,"Çarpaz İstinad Yoxlanışı: Təqdim etməzdən əvvəl DMAA Forma 2-nin müvafiq CAME sənədi ilə çarpaz yoxlanılması təmin ediləcək ki, bütün müvafiq təyyarə növləri tələb olunan paraqraflarda dəqiq siyahıya alınmış olsun. ","AZAL, Auditee",2/3/2025,,Sübutedici sənəd təqdim edilmişdir.,"Nasirov, Namig",4/23/2025,4/23/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,CAME yenilənib və Bermud adalarında qeydiyyatda olan təyyarələrə dair məlumat CAME-nin 6-cı maddəsində yer alıb. CAME və Form 2 əlavə olunub.,"AZAL, Auditee",4/23/2025,4/23/2025,
CA/PA-880,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee","CAMO.125(e). Uçuşların yararlılığının yoxlanılması personalı tərəfindən 4K-AZ143 HG-nin uçuşa yararlılıq sertifikatının yeniləməsi zamanı aşkarlanmış 4 ədəd uyğunzusluq bağlanmışdır, lakin uyğunsuzluqların aradan qaldırıldığının sübutedici sənədləri müvafiq qovluğa əlavə edilməmişdir.",Proseslərdə və sənədlərdə boşluqlar mövcuddur. Təlimatda (Airworthiness Review Manual) ARC sertifikatlarının verilməsi zamanı CAR (Corrective Action Request) bağlanarkən dəstəkləyici sənədlərin əlavə edilməsi ilə bağlı aydın tələblər və nəzarət mexanizmləri təmin edilmir.,"AZAL, Auditee",2/3/2025,4/17/2025,31 mart 2025-ci il tarixinədək müəyyən edilmiş dörd uyğunsuzluğun aradan qaldırılmasını təsdiq edən sənədlər toplanaraq müvafiq qovluğa əlavə olunacaq.,"AZAL, Auditee",2/3/2025,,Təlimata (Airworthiness Review Manual) yenidən baxılması və xüsusilə CAR-ın bağlanması üçün sübut kimi sənədlərin təqdim edilməsi zərurəti barədə aydın müddəanın əlavə edilməlisi 15.04.2025 qədər,"AZAL, Auditee",2/3/2025,,Sübutedici sənədlər təqdim olunmuşdur.,"Nasirov, Namig",4/18/2025,4/18/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,Dörd uyğunsuzluğun aradan qaldırılmasını təsdiq edən sənədlər əlavə olunub. Təlim keçirilib və attendance sheet əlavə olunub.,"AZAL, Auditee",4/17/2025,4/17/2025,
CA/PA-881,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee",CAMO.125(d). 4K-AZ64 nömrəli HG-nə DMAA tərəfindən FADEC hissəsinin 6 aylıq quraşdırılması üçün təsdiqlənmiş istisna AMASİS programında yenilənməmişdir və 6 aylıq müddətin izlənilməsi təqdim olunmamışdır.,"İş sifarişi planlaşdırma şöbəsinə gec gəldi. Bu halda, lazımi məlumatlar kağız üzərində göstərildi (TCOD)","AZAL, Auditee",2/3/2025,4/17/2025,4K-AZ64 təyyarələrində FADEC-in quraşdırılması üçün 6 aylıq azadlığa dair çatışmayan məlumatla AMASIS proqramına dərhal yeniləmə.,"AZAL, Auditee",2/3/2025,,"Bütün istisnaların lazımi qaydada yenilənməsi və izlənilməsi üçün vaxtaşırı yoxlamalar keçirilsin, gələcəkdə oxşar problemlərin qarşısının alınması təmin ediləcək.Yuxarıda göstərilən tədbir CAMO tərəfindən Product auditin dövri yoxlamalar çərçivəsində  30.04.2025 tarixinə qədər təmin ediləcək.","AZAL, Auditee",2/3/2025,,Sübutedici sənədlər təqim olunmuşdur,"Nasirov, Namig",4/22/2025,4/22/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,Təsdiqləyici sənədlər (FADEC-in 4K-AZ64 təyyarəsindən vaxtında çıxarılması) əlavə olunub. Product auditi həyata keçirilib və audit hesabatı da əlavə olunub.,"AZAL, Auditee",4/30/2025,4/18/2025,
CA/PA-789,Closed,7/4/2024,7/31/2024,"AUD489 - Azerbaijan Airlines (CAMO-001), Foreign Aircraft Survey (Embraer ERJ-190)",Surveillance,"AZAL, Auditee",2. Some placards located on the NLG of aircraft VP-BRU are damaged and unreadable.  See the attached photos for reference( AUD-489).,Lack of control by operator side. ,"AZAL, Auditee",7/31/2024,4/17/2025,Placard will be replaced by the end of 2024. ,"AZAL, Auditee",7/31/2024,,Carrying out periodic monitoring of the condition of the placards on aircraft. ,"AZAL, Auditee",7/31/2024,,None,None,None,None,Accepted,"Nasirov, Namig",10/21/2024,10/21/2024,None,None,None,None,
CA/PA-797,Closed,7/17/2024,12/29/2024,"AUD487 - Azerbaijan Airlines (CAMO-001), ACAM In-depth Survey (Cessna 172S/Diamond DA42NG)",Surveillance,"AZAL, Auditee","Texniki xidmət jurnalında (ATLB) səhifə 003193, bənd 1-də qüsur (defect) qeyd olunub, lakin ""islahedici tədbir"" (Corrective action) bölməsində işin icrası barəsində qeyd olunma yoxdur (30 yanvar tarixinədək). İşlərin sənədləşdirilməsi təmin edilməyib və təyyarə martın 15-dək uçuş planını icra edib.",Insan amili,"AZAL, Auditee",7/26/2024,4/17/2025,Texniki xidmət bortjurnalının (ATLB) səhifələrində düzəliş aparılacaq.,"AZAL, Auditee",7/26/2024,,"HGUYSİ tərəfindən sənədlərin (ATLB, NRC, WO, WP) düzgün işlənməsi və yoxlanması proseduru hazırlanır. 
Prosedur təsdiq olunandan sonra planning əməkdaşlarına təlim keçiriləcək.

2024 ilin axırına kimi attendance sheet və prosedur DMAA göndəriləcək.","AZAL, Auditee",8/16/2024,,Qəbul olundu.,"Abdullayev, Zaur",12/27/2024,1/8/2025,Qəbul olundu.,"Abdullayev, Zaur",10/28/2024,10/28/2024,"ATLB səhifə 003204 ( LP № 003204 ) elektron formatda Q-pulse proqramına yüklənilib.

Prosedur və attendance sheet və prosedur yüklənilib.","AZAL, Auditee",11/1/2024,12/29/2024,
CA/PA-798,Closed,7/17/2024,8/16/2024,"AUD487 - Azerbaijan Airlines (CAMO-001), ACAM In-depth Survey (Cessna 172S/Diamond DA42NG)",Surveillance,"AZAL, Auditee","Texniki xidmət jurnalının (ATLB) səhifə 003202, bənd 2 - də təyyarəyə  quraşdırılan və çıxardılan Alternatorun P/N və S/N-ləri qeyd olunmamışdır.",Insan amili,"AZAL, Auditee",7/26/2024,4/17/2025,Texniki xidmət bortjurnalının (ATLB) səhifələrində düzəliş aparılacaq və 1 ay ərzində (19.10.2024 qədər) Q-pulse vasitəsi ilə yüklənəcək.,"AZAL, Auditee",7/26/2024,,"HGUYSİ tərəfindən sənədlərin (ATLB, NRC, WO, WP) düzgün işlənməsi və yoxlanması proseduru hazırlanır. 
Prosedur təsdiq olunandan sonra planning əməkdaşlarına təlim keçiriləcək.

2024 ilin axırına kimi attendance sheet və prosedur DMAA göndəriləcək. ","AZAL, Auditee",8/16/2024,,Evidence is provided.,"Abdullayev, Zaur",10/22/2024,10/28/2024,Qəbul olundu.,"Abdullayev, Zaur",8/16/2024,9/19/2024,"Texniki xidmət jurnalının (ATLB) səhifə 003202, bənd 2 - də təyyarəyə  quraşdırılan və çıxardılan Alternatorun P/N və S/N-ləri qeyd olunub, elektron formatda Q-pulse proqramına yüklənilib. ","AZAL, Auditee",10/3/2024,10/20/2024,
CA/PA-799,Closed,7/17/2024,8/16/2024,"AUD487 - Azerbaijan Airlines (CAMO-001), ACAM In-depth Survey (Cessna 172S/Diamond DA42NG)",Surveillance,"AZAL, Auditee","Ümumi baxış 1 aydır başa çatmayıb (13 aprel və 13 may, mayın 29-dan təyyarəyə planlı texniki xidmət göstərilir, MP OM 02.02-nin 6.3.1-ci bəndinə əsasən, təyyarədə ayda bir dəfə olmaq şərtilə mühərrik işə salınmalı - təyyarə uçmadığı halda).",ATO uçuş heyəti məzuniyyətdə olduğu üçün müvafiq işlər yerinə yetirilməyib,"AZAL, Auditee",10/17/2024,4/17/2025,"MP OM 02.02-nin  6 chapter Appendix 19  bəndinə əsasən, təyyarədə texniki xidmət yerinə yetrilməsi üçün WR yaradılmışdır və yaxın zamanda yerinə yetiriləcək.","AZAL, Auditee",10/17/2024,,"ASG helikopter Planlaşdırma şöbəsinə tapşırıq verildi ki, gələcəkdə bu və digər hallar təkrarlanmasın.","AZAL, Auditee",10/17/2024,,Qəbul olundu.,"Abdullayev, Zaur",10/18/2024,10/18/2024,Qəbul olundu.,"Abdullayev, Zaur",10/18/2024,10/18/2024,"CA/PA 799 ilə əlaqədar  MP OM 02.02-nin 6 chapter Appendix 19 bəndinə əsasən, təyyarədə texniki xidmət yerinə yetrilmişdir və WR#24892 Q-pluse sisteminə yüklənmişdir .","AZAL, Auditee",10/17/2024,10/18/2024,
CA/PA-800,Closed,7/17/2024,8/16/2024,"AUD487 - Azerbaijan Airlines (CAMO-001), ACAM In-depth Survey (Cessna 172S/Diamond DA42NG)",Surveillance,"AZAL, Auditee","AZAL CAMO təşkilatında uçuş yararlılığının qeydiyyat sistemi yenilənməmişdir (POH, Modification status, Repair status, D&B chart və AD status).",Azal və ASG Helicopters arasında əlaqənin olmaması.,"AZAL, Auditee",7/26/2024,4/17/2025,Sənədlər ASG tərəfindən təqdim olunacaq və AZAL serverində saxlanılacaq.,"AZAL, Auditee",7/26/2024,,2024-cü ilin sonuna kimi JPM yaradılacaq və ASG-dən AZAL-a bütün sənədlərin vaxtında təqdim edilməsi ilə bağlı bənd yaradılacaq.,"AZAL, Auditee",8/16/2024,,Evidence is provided.,"Abdullayev, Zaur",10/22/2024,10/28/2024,Qəbul olundu.,"Abdullayev, Zaur",8/16/2024,9/23/2024,Sənədlər elektron formatda Q-pulse proqramına yüklənilib,"AZAL, Auditee",12/31/2024,10/20/2024,
CA/PA-801,Closed,7/17/2024,8/16/2024,"AUD487 - Azerbaijan Airlines (CAMO-001), ACAM In-depth Survey (Cessna 172S/Diamond DA42NG)",Surveillance,"AZAL, Auditee","HG-də görülmüş işlərə aid sənədlər toplusu tam şəkildə operator tərəfindən təqdim edilməmişdir (təyyarənin təmiri WR №29461, təyyarə modifikasiyası –  forma 124 First Aid Kit quraşdırılması və EO, WR # 5800 Jack pad quraşdırılması ).",Azal və ASG Helicopters arasında əlaqənin olmaması.,"AZAL, Auditee",7/26/2024,4/17/2025,İş sifarişi  (work order) yerləşdiriləcək. ,"AZAL, Auditee",7/26/2024,,2024-cü ilin sonuna kimi JPM yaradılacaq və ASG-dən AZAL-a bütün sənədlərin vaxtında təqdim edilməsi ilə bağlı bənd yaradılacaq.,"AZAL, Auditee",8/16/2024,,Qəbul olundu.,"Abdullayev, Zaur",10/22/2024,11/1/2024,Qəbul olundu.,"Abdullayev, Zaur",8/16/2024,9/23/2024,Sənədlər elektron formatda Q-pulse proqramına yüklənilib,"AZAL, Auditee",12/31/2024,10/28/2024,
CA/PA-807,Closed,8/13/2024,9/13/2024,"AUD491 - Azerbaijan Airlines (CAMO-001), ACAM In-depth Survey (Embraer ERJ-190)",Surveillance,"AZAL, Auditee",1.Texniki xidmət bortjurnalının (ATLB) səhifələrində texniki qeydlərin yazılışında çox sayda düzəlişlər var (düzəlişlər möhür və imza ilə təsdiqlənmir).,Insan amili,"AZAL, Auditee",8/20/2024,4/10/2025,Texniki xidmət bortjurnalının (ATLB) səhifələrində düzəliş aparılacaq.,"AZAL, Auditee",8/20/2024,,"Təyyarələrə Texniki Xidmət bort jurnalının (ATLB) yeni dizaynı DMAA tərəfindən təsdiq edildikdən sonra, HGUYS idarəsi bütün texniki heyyət üçün təlim keçirəcək. 
HGUYSİ tərəfindən sənədlərin (ATLB, NRC, WO, WP) düzgün işlənməsi və yoxlanması proseduru hazırlanır. 
Prosedur təsdiq olunandan sonra planning əməkdaşlarına təlim keçiriləcək.


2024 ilin axırına kimi attendance sheet və prosedur DMAA göndəriləcək. ","AZAL, Auditee",9/13/2024,,Sübutedici sənəd təqdim olunmuşdur.,"Nasirov, Namig",11/29/2024,11/29/2024,Qəbul olundu.,"Abdullayev, Zaur",9/13/2024,9/19/2024,Prosedur (AHY-CAM-PRO-0014) əlavə olunub. ,"AZAL, Auditee",12/31/2024,11/29/2024,
CA/PA-808,Closed,8/13/2024,9/13/2024,"AUD491 - Azerbaijan Airlines (CAMO-001), ACAM In-depth Survey (Embraer ERJ-190)",Surveillance,"AZAL, Auditee",2.Təyyarənin istismara buraxılışa icazə verən sertifikatında (CRS) istinad nömrəsi (certificate reference no.) qeyd olunmayıb.,Səhv prosedur,"AZAL, Auditee",8/20/2024,4/10/2025,Təyyarənin istismara buraxılışa icazə verən sertifikatında (CRS) istinad nömrəsi (certificate reference no.) qeyd olunacaq. ,"AZAL, Auditee",9/20/2024,,"HGUYSİ tərəfindən sənədlərin (ATLB, NRC, WO, WP) düzgün işlənməsi və yoxlanması proseduru hazırlanır. 

Prosedur təsdiq olunandan sonra planning əməkdaşlarına təlim keçiriləcək.


2024 ilin axırına kimi attendance sheet və prosedur DMAA göndəriləcək. ","AZAL, Auditee",9/13/2024,,Sübutedici sənəd təqdim olunub,"Nasirov, Namig",11/29/2024,11/29/2024,Qəbul olundu.,"Abdullayev, Zaur",9/13/2024,9/19/2024,Prosedur (AHY-CAM-PRO-0014) əlavə olunub. ,"AZAL, Auditee",12/31/2024,11/29/2024,
CA/PA-902,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee",CAMO.315(b). RAMP yoxlanması zamanı 4K-AZ81 DQN HG-nin 19.12.2024-cü il tarixində PR# 12216 nömrəli texniki qeydiyyat jurnalı vərəqəsində 20 dəqiqəyə yerinə yetirilmiş və HG-nin enmə dayaqları yağdan təmizlənməmişdir.,Növbələr arası məlumatl arın ötürülməsi prosesinin yetərincə olmaması,"AZAL, Auditee",2/3/2025,4/10/2025,"Texniki Xidmət göstərən a/texniklər təyyarədə olub.TX tam həcmdə, rəhbər sənədlərə əsasən yerinə yetirilib və müvafiq 
sənədlər ATLB imzalanmışdır . Ayrıca TX gecə növbəsindən 
başlayıb və gündüz növbəsi davam edib .HG-nin dayaqların 
təmizlənməsi TX sonunda yerinə yetirilmişdir.","AZAL, Auditee",2/3/2025,,"Sözügedən nöqsanın təkrarlanmam
ası məqsədilə SWT  rəhbərliyinə
məlumat  Email vasitəsilə göndərildi ki, 
(Handover) proseduru təkmiləşdirilsin 15.04.2025 qədər. ","AZAL, Auditee",2/3/2025,,"Sübutedici sənədlər təqdim olunmuşdur.
Növbəti yoxlamalarda bu məsələyə xüsusi diqqət yetiriləcəkdir.","Nasirov, Namig",4/18/2025,4/18/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,"SWT ilə elektron məktub yazışması DMAA-ya 18.04.2025-ci il tarixində təqdim olunmuşdur.
AZAL tərəfindən növbəti yoxlamalar zamanı bu nüansa xüsusi diqqət yetiriləcəkdir.","Nasirov, Namig",4/15/2025,4/18/2025,
CA/PA-883,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee","CAMO.130 / CAMO.160. Təşkilatda dəyişikliklərin idarə olunması (MOC) yerinə yetirilmir. Nəticədə Dekabr ayından Q-pulse üzrə fəaliyyəti dayandırıb İQSMS ilə işləməyə başlansada bu haqda CAME, SMS və QM sənədlərində yenilənmə edilməyib.
Təşkilatda (CAMO) hər bir işçinin iQSMS-də istifadəçi hesabı mövcud deyildir.",Yeni proqrama keçid zamanı risklərin qiymətləndirilməsi aparılmayıb,"AZAL, Auditee",2/3/2025,4/17/2025,"31 mart 2025-ci il tarixinədək proqramla bağlı məlumatlar CAME, SMS və QM sənədlərində yenilənəcək.
Bütün CAMO əməkdaşları üçün IQSMS hesabları yaradılacaq.","AZAL, Auditee",2/3/2025,,"Yeni proqrama keçid zamanı risklərin qiymətləndirilməsi aparılacaq və bu risklərin nəticələrini azaltmaq üçün bütün risklər və tədbirlər əvvəlcədən təhlil ediləcək.
Yuxarıda qeyd olunan tədbir IQSMS proqram çərçivəsində həyata keçiriləcək (20.04.2025 qədər)","AZAL, Auditee",2/3/2025,,Sübutedici sənədlət təqdim olunur.,"Nasirov, Namig",4/23/2025,4/23/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,"Əvvəl CAME-də proqram qeyd olunmadığı üçün AHY-CAM-PRO-0017 'Occurrence Reporting'   prosedurunda dəyişikliklər edildi və IQSMS AZAL-ın proqramı kimi əlavə olundu. Beləliklə, CAME-də qeyd olunan prosedurda dəyişikliklər edildi.
Şöbənin 13 əməkdaşı, o cümlədən CAMO Post Holder, IQSMS proqramında qeydiyyatdan keçib. Hesabların yaradılması üçün bütün işçilərin siyahısı müvafiq şəxslərə (Safety Department) göndərilib və tədricən əlavə olunur. SMS-də ""Q-pulse"" programmı ümumi ""SMS software"" ad ilə dəıişildikdiyi üçünç bura əlavə olunmayib. QM sənıdi MSM sənıdin bir hissəsi olduğundan və orada ""Occurrence Reporting"" təsvir olmadığı üçünç əlavə olunmayıb. IQSMS sertifikatlar və procedur əlavə olunub","AZAL, Auditee",4/22/2025,4/23/2025,
CA/PA-884,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee","CAMO.160. iQSMS ID DRF-INC18-6165 nömrəli uyğunsuzluğun bağlanması məqbul sayılmır ona görə ki, uyğunsuzluğun bağlanılmasındakı qeyd anlaşılmazlıq yaratmışdır (Destroyed).
 iQSMS ID DRF-INC18--6167 uyğunsuzluğunun bağlanmasını sübut edən sənədlər sistemə daxil edilməmişdir.",Təlim yetərsizliyi.,"AZAL, Auditee",2/3/2025,4/17/2025,28.02.2025 tarixinədək hər iki DRF-ə aid sübut edən sənədlər (NRC-lər) Uçuşyararlığı İdarəsindən alınaraq Q-Pulse sisteminə əlavə olunacaq.,"AZAL, Auditee",2/3/2025,,Məsul şəxs uyğunsuzluqlarla bağlı təlimlərə cəlb olunacaq 15.04.2025 tarixinə qədər,"AZAL, Auditee",2/3/2025,,Sübutedici sənədlər təqdim olumuşdur.,"Nasirov, Namig",4/16/2025,4/16/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,"Islahedici tədbir kimi uyğun NRC-lər Q-pulse sisteminə yüklənmişdir. Məsul şəxs - Zaur Ömərov uyğunsuzluqların idarə olunması ilə bağlı ""İQSMS Reporter"" təlimini keçmişdir. Sertifikat Q-pulse sisteminə yüklənmişdir.","AZAL, Auditee",4/15/2025,4/7/2025,
CA/PA-893,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee",CAMO.215. Yoxlama zamanı 45 dəqiqə internet bağlantısı problemi yaşanmışdır. Təkrarlanan uyğunsuzluqdur - AUD301 dən NC129,"İnfrastruktur (marşrutlaşdırıcılar, kabellər və ya şəbəkə provayderləri kimi) lazımi qaydada sınaqdan keçirilməmiş və ya texniki xidmət göstərilməmiş ola bilər ki, bu da fasilələrlə əlaqə problemləri ilə nəticələnir.","AZAL, Auditee",2/3/2025,4/17/2025,Xidməti bərpa etməzdən əvvəl sabit və etibarlı İnternetə çıxışı təmin etmək üçün şəbəkə yoxlanılacaq.,"AZAL, Auditee",2/3/2025,,"Fasiləsiz  xidmətin təmin edilməsi üçün 
şəbəkə infrastrukturunun (marşrutlaşdırıcılar, kabellər, xidmət müqavilələri və s.) mütəmadi yoxlanılması 
və ona qulluq edilməsi tədbirləri həyata 
keçiriləcək 15.04.2025 qədər..","AZAL, Auditee",2/3/2025,,Sübut təqdim olunmuşdur.,"Nasirov, Namig",4/22/2025,4/22/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,"Fasiləsiz xidmətin təmin edilməsi üçün şəbəkə infrastrukturunun (marşrutlaşdırıcılar, kabellər, xidmət müqavilələri və s.) IT tərəfindən yoxlanıldı. Aşkar olunmuş nöqsanlar aradan qaldırıldı. İnternet signalın sabit və etibarlı olduğu əlavə olunan faylda əks olunur.","AZAL, Auditee",4/21/2025,4/21/2025,
CA/PA-894,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee",CAMO.220(c). İşçilərin şəxsi sənədlərin toplandığı qovluqlardakı “Personal File” sənədində məlumat tam əks olunmur.,"Bütün tələb olunan şəxsi sənədlərin müntəzəm olaraq toplanmasını, yoxlanılmasını və yenilənməsini təmin etmək üçün standartlaşdırılmış prosesin olmaması.","AZAL, Auditee",2/3/2025,4/17/2025,"31 mart 2025-ci il tarixinədək lazımi qeydləri toplayaraq hər bir işçi üçün ""Şəxsi iş"" sənədlərini yenilənəcək və tam şəkildə doldurulacaq.","AZAL, Auditee",2/3/2025,,"Hər bir işçi üçün tələb olunan sənədləri 
izləmək və onların ""Şəxsi iş""də düzgün 
qeyd olunmasını təmin etmək üçün ""Yoxlama siyahısı"" sistemi tətbiq ediləcək. 
Prosedur (CAMO/AMO Training Procedure, 
AHY-CAMPRO-0003) yenilənib və ""Şəxsi iş""də olması vacib olan bütün sənədlərin 
siyahısı əlavə ediləcək 20.04.2025 qədər..","AZAL, Auditee",2/3/2025,,"Sübutedici nümunələr təqdim edilmişdir.
Növbəti yoxlamada bir daha nəzər yetiriləcəkdir.","Nasirov, Namig",4/18/2025,4/18/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,CAMO/AMO Training Procedure (AHY-CAM-PRO-0003) yenilənib və əlavə olunub. Personalın Şəxsi iş fayl yeniləndi və nümunə kimi Minə Əliyeva və Çinarə Ağayeva record sheet əlavə olunub.,"AZAL, Auditee",4/20/2025,4/17/2025,
CA/PA-895,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee",CAMO.300. Texniki xidmət programının effektivliyinin yoxlanılması və etibarlıq hesabatı program ilə əlaqədar iclas sonuncu dəfə Mart 2024-cü il tarixində keçirilmişdir. CAME sənədində bu qəbil iclasların il ərzində neçə dəfə keçirilməli olduğu  dəqiq göstərilməmişdir.,Məsul işçilər arasında səmərəsiz ünsiyyət və ya koordinasiya görüşlərin buraxılması ilə nəticələnir.,"AZAL, Auditee",2/3/2025,4/17/2025,"Baxım proqramını və etibarlılıq hesabatlarını nəzərdən keçirmək üçün 31 mart 2025-ci il tarixinədək növbəti iclası planlaşdırın və keçirin. 
Reliability Proseduruna keçid CAME-də verilmişdir. Reliability Prosedurun (AHY-CAM-PRO-0002) 0.7-ci bəndində etibarlılıq görüşlərinin tezliyi barədə məlumatlar mövcuddur.","AZAL, Auditee",2/3/2025,,Qarşıdan gələn görüşlər haqqında maraqlı tərəfləri məlumatlandırmaq üçün daxili təqvim sisteminə avtomatik xatırlatmaların tətbiq edilməsi 10.04.2025 qədər.,"AZAL, Auditee",2/3/2025,,"Sübutedici sənədlər təqdim olunmuşdur.
Növbəti yoxlama zamanı bir daha nəzər yetiriləcəkdir.","Nasirov, Namig",4/18/2025,4/18/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,"Reliability procedure, və CAMO-NOTİCE-011 əlavə olunub. Dekabr-yanvar-fevral ayları üzrə hesabatların etibarlılığına dair iclas keçirilmişdir və iclasın protokolu əlavə edilmişdir.","AZAL, Auditee",4/18/2025,4/18/2025,
